Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;;;;Бит 4 - Двойная высота;;;;;
;;;;Бит 5 - С рамкой;;;;;
;;;;Бит 6 - Уменьшенная высота;;;;;
;;;;Бит 7 - ;;;;;
;1;bitfield;;Флаг открытого документа 2;;;;;
;;;;Бит 0 - ;;;;;
;;;;Бит 1 - ;;;;;
;;;;Бит 2 - ;;;;;
;;;;Бит 3 -  Жирный;;;;;
;;;;Бит 4 -  Курсив;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - ;;;;;
;?;string;;Текст (символ с кодом > 0x20), символы 01-05 меняют шрифт последующих байт;;;;;
dc;;;;Отрезать чек;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
dd;;;;Печатать картинку;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Номер картинки для печати (1-25);1;number;;порядковый номер оператора;
;2;number;;Высота области;;;;;
;2;number;;Начальная координата Х (должна быть кратна 8);;;;;
;2;number;;Начальная координата Y ;;;;;
de;;;;Печатать штрих-код;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Тип библиотеки: ;1;number;;порядковый номер оператора;
;;;0;1D штрих-код;;;;;
;;;1;2D штрих-код;;;;;
;2;number;;Высота / Тип 2D кода;;;;;
;;;6;QR-Code;;;;;
;;;8;PDF417;;;;;
;2;number;;Масштаб;;;;;
;1;number;;Граница / отсутствует в 2D;;;;;
;;;0;слева;;;;;
;;;1;по центру;;;;;
;;;2;справа;;;;;
;1;bitfield;;Флаг 1;;;;;
;;;;Бит 0 - Тип штрих-кода [1-8] / Тип штрих-кода;;;;;
;;;;Бит 1 - Тип штрих-кода [1-8] / Код;;;;;
;;;;Бит 2 - Тип штрих-кода [1-8] / Контрольная сумма;;;;;
;;;;Бит 3 - ;;;;;
;;;;Бит 4 - ;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - Без ASCII символов;;;;;
;1;bitfield;;Флаг 2;;;;;
;;;;Бит 0 - Без контрольной суммы;;;;;
;;;;Бит 1 - ;;;;;
;;;;Бит 2 - ;;;;;
;;;;Бит 3 - Печать текста двойной высоты;;;;;
;;;;Бит 4 - Без заголовка и текста в конце;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - ;;;;;
;?;string;;Текст;;;;;
de;;;;Печатать 1D штрих-код;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Тип библиотеки: ;1;number;;порядковый номер оператора;
;;;0;1D штрих-код;;;;;
;2;number;;Высота;;;;;
;2;number;;Масштаб;;;;;
;1;number;;Граница;;;;;
;;;0;слева;;;;;
;;;1;по центру;;;;;
;;;2;справа;;;;;
;1;bitfield;;Флаг 1;;;;;
;;;;Бит 0 - Тип штрих-кода [1-8];;;;;
;;;;Бит 1 - Тип штрих-кода [1-8];;;;;
;;;;Бит 2 - Тип штрих-кода [1-8];;;;;
;;;;Бит 3 - ;;;;;
;;;;Бит 4 - ;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - Без ASCII символов;;;;;
;1;bitfield;;Флаг 2;;;;;
;;;;Бит 0 - Без контрольной суммы;;;;;
;;;;Бит 1 - ;;;;;
;;;;Бит 2 - ;;;;;
;;;;Бит 3 - Печать текста двойной высоты;;;;;
;;;;Бит 4 - Без заголовка и текста в конце;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - ;;;;;
;?;string;;Текст;;;;;
de;;;;Печатать 2D штрих-код;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Тип библиотеки: ;1;number;;порядковый номер оператора;
